arous_studycode_FINAL,arous_lowinter_FINAL,arous_highinter_FINAL,arous_test_FINAL,arous_timewin_FINAL,arous_locations_FINAL,arous_dfeffect_FINAL,arous_dferror_FINAL,arous_fvalue_FINAL,arous_direction_FINAL,arous_inter_FINAL,arous_interfactor_FINAL,att_nonsigassumed_FINAL,arous_notes_FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F null,
Fukushima2011,physical_judg,affective_judg,permttest,250-285,F3,1,20,6.3001,arous is lower,none,none,0,squared t-values form table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fukushima2011,physical_judg,affective_judg,permttest,395-430,F3;C3,1,20,5.513104;6.275025,arous is lower,none,none,0,squared t-values form table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fukushima2011,physical_judg,affective_judg,permttest,245-270,C3,1,20,5.597956,arous is lower,none,none,0,squared t-values form table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fukushima2011,physical_judg,affective_judg,permttest,260-275,Fz;FCz,1,20,5.769604;4.519876,arous is lower,none,none,0,squared t-values form table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fukushima2011,physical_judg,affective_judg,permttest,265-285,F4,1,20,4.959529,arous is lower,none,none,0,squared t-values form table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentsch2018,neutral_repetition,affective_repetition,permttest,200-300,FZ-F2-FCZ-FC2-CZ;AFZ-FPZ-AF4-AF3-AF8-AF7-F1-FC1-FT8-F6-FC5-F5-F7-F3-FT7-PO7-PO3-P3-P1-O1-POZ-OZ-IZ-O2-P2-PO4-PO8-CP5-CP3-P9-P7-P5-P3-CP6-CP4-P8-P6-P4,1,16,10.018;0.4762825277,arous is lower,none,none,1,"F value calculated from permutation pvalue - non significance assumed for not reported electrodes and time windows; since repetition is decrease in arousal, arousal is lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01883252,0.4762825277
Gentsch2018,neutral_repetition,affective_repetition,permttest,100-200,AFZ-FPZ-AF4-AF3-AF8-AF7-F1-FZ-F2-FC1-FCZ-CZ-FC2-FT8-F6-FC5-F5-F7-F3-FT7-PO7-PO3-P3-P1-O1-POZ-OZ-Iz-O2-P2-PO4-PO8-CP5-CP3-P9-P7-P5-P3-CP6-CP4-P8-P6-P4,,,0.4762825277,arous is lower,none,none,1,"F value calculated from permutation pvalue - non significance assumed for not reported electrodes and time windows; since repetition is decrease in arousal, arousal is lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentsch2018,neutral_repetition,affective_repetition,permttest,300-400,AFZ-FPZ-AF4-AF3-AF8-AF7-F1-FZ-F2-FC1-FCZ-CZ-FC2-FT8-F6-FC5-F5-F7-F3-FT7-PO7-PO3-P3-P1-O1-POZ-OZ-Iz-O2-P2-PO4-PO8-CP5-CP3-P9-P7-P5-P3-CP6-CP4-P8-P6-P4,,,0.4762825277,arous is lower,none,none,1,"F value calculated from permutation pvalue - non significance assumed for not reported electrodes and time windows; since repetition is decrease in arousal, arousal is lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentsch2018,neutral_repetition,affective_repetition,permttest,400-500,AFZ-FPZ-AF4-AF3-AF8-AF7-F1-FZ-F2-FC1-FCZ-CZ-FC2-FT8-F6-FC5-F5-F7-F3-FT7-PO7-PO3-P3-P1-O1-POZ-OZ-Iz-O2-P2-PO4-PO8-CP5-CP3-P9-P7-P5-P3-CP6-CP4-P8-P6-P4,,,0.4762825277,arous is lower,none,none,1,"F value calculated from permutation pvalue - non significance assumed for not reported electrodes and time windows; since repetition is decrease in arousal, arousal is lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentsch2018,neutral_repetition,affective_repetition,permttest,500-600,AFZ-FPZ-AF4-AF3-AF8-AF7-F1-FZ-F2-FC1-FCZ-CZ-FC2-FT8-F6-FC5-F5-F7-F3-FT7-PO7-PO3-P3-P1-O1-POZ-OZ-Iz-O2-P2-PO4-PO8-CP5-CP3-P9-P7-P5-P3-CP6-CP4-P8-P6-P4,,,0.4762825277,arous is lower,none,none,1,"F value calculated from permutation pvalue - non significance assumed for not reported electrodes and time windows; since repetition is decrease in arousal, arousal is lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray2007,baseline,mental effort,spm,455-595,all,1,9,0.4938184155,arous is lower,none,none,1,"F value calculated from permutation pvalue - non significance assumed for not reported electrodes and time windows; since repetition is decrease in arousal, arousal is lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4938184155,
Luft2015,neutral cues,affective cues,permttest,200-300,CP3-P3,1,15,12.25,arousal is higher,none,none,0,F value calculated from t squared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1801,
Luft2015,lowarousal,higharousal,permttest,380-460,P6-P8,1,15,15.68,arousal is higher,none,none,0,F value calculated from t squared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t value calculated based on data in table assuming 0.7 correlation between measurments,
MacKinnon2013,baseline,positive,ttest,180-240,CZ;C4;C3,1,25,0.47;2.26;4.03,,none,none,0,Calculated from table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacKinnon2013,baseline,negative,ttest,180-240,CZ;C4;C3,1,25,13.02;9.31;31.53,,none,none,0,Calculated from table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacKinnon2013,baseline,breathing,ttest,180-240,CZ;C4;C3,1,25,9.33;0.32;0,,none,none,0,Calculated from table 2; same number repetated for C3 baseline-breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacKinnon2013,baseline,positive,ttest,20-180,CZ;C4;C3,1,25,0.47,,none,none,1,report not significant but no values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4674251507,
MacKinnon2013,baseline,negative,ttest,20-180,CZ;C4;C3,1,25,0.47,,none,none,1,report not significant but no values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacKinnon2013,baseline,breathing,ttest,20-180,CZ;C4;C3,1,25,0.47,,none,none,1,report not significant but no values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
