ref_authors,ref_code,ref_year,ref_title,ref_journal,ref_abstract,ref_query,ref_pmid,ref_notes,,prisma_coder1,prisma_coder2,prisma_excluded_screening,prisma_excluded_screening_reason,prisma_check_full_text,prisma_excluded_fulltext,prisma_excluded_fulltext_reason,prisma_included_sysreview,prisma_included_meta,prisma_excluded_meta_reason,prisma_metacoder1,prisma_metacoder2,prisma_note,,study_desc,study_type,study_relevant_data,,sample_total,sample_exclusion,sample_npergroup,sample_clinical,sample_clinicalgroup,sample_design,sample_justification,sample_justification_note,sample_notes,,eeg_system,eeg_software,eeg_numelec,eeg_reference,eeg_samplingrate,eeg_eog,eeg_notes,,ecg_system,ecg_numelec,ecg_montage,eeg_samplingrate,ecg_notes,,preproc_highpass,preproc_lowpass,preproc_addfilter,preproc_art_ICA,preproc_art_thresh,preproc_art_visual,preproc_art_eogcorr,preproc_art_reportleft,preproc_art_percemoved,preproc_ecg_correction,preproc_ecg_corr_method,preproc_timelock,prerproc_epochstart,preproc_epochend,preproc_base_startend,preproc_baseline,preproc_notes,,task_conditions,task_numfactors,task_epochsperconditions,task_notes,,hep_scoring,hep_timewin,hep_timewin_just,hep_timewinnum,hep_locations,hep_location_just,hep_locationsnum,hep_clusters,hep_numclusters,hep_circularity,hep_notes,,comp_tests,comp_parameteric,comp_numfactors,comp_numcells,comp_numanovas,comp_correction_main,comp_correction_posthoc,comp_sphericity,comp_hypostring,comp_judghypo,comp_effectsize,comp_exhaust,comp_notes,,corr_tests,corr_parameteric,corr_numcorr,corr_measure,corr_exhaust,corr_locations,corr_location_just,corr_correction,corr_hypostring,corr_judghypo,corr_corrftoz,corr_notes,,meta_attention,meta_correlation,meta_group,meta_arousal,meta_training,meta_ecg,meta_brain
"Baranauskas, Grabauskaitė, Griškova-Bulanova",Baranauskas2017,2017,Brain responses and self-reported indices of interoception: Heartbeat evoked potentials are inversely associated with worrying about body sensations.,Physiology &amp; behavior,Interoception may be defined as a group of senses reflecting physiological state of the body; however the link between physiological and self-reported indices of interoception is not well established. We aimed to elucidate the relationship between the CNS representation of interoceptive processing - the late part of the heartbeat evoked potential (HEP) - and the self-reported interoceptive abilities and tendencies as assessed with the scales of Multidimensional Assessment of Interoceptive Awareness (MAIA) questionnaire. The HEP amplitudes at 400-600ms and MAIA scores from 30 healthy participants were subjected to the cluster-based permutation tests on the t-values of Pearson correlations. HEP amplitudes were positively associated with individual scores on the Not-Worrying scale of MAIA at Cz in the time window from 400ms to 545ms after the R peak. No other MAIA scales were related to the late HEP amplitudes  suggesting that scales and HEPs measure different aspects that are not directly interrelated. This supports the need to treat interoception as a multidimensional construct.,heartbeat-evoked[All Fields] AND potential[All Fields],28778551,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,Correlation between HEP and interoceptive questionnaire. Also comparison for scalp location and sex,intero.correlation,correlation coefficient for interopcetive questionnaires,,40,10,30,no,,inddiff,no,,,,other,eeglab,16,avgmastoids,1024,yes,EEG system is Waveguard,,not reported,not reported,wrists,not reported,probably same system as EEG,,0.3,30,none,yes,50,no,no,no,,no,,rpeak,-200,600,-200;-50,mean subraction,report keeping only participants with at least 200 epochs,,MAIA,0,444,Correlate MAIA questionnaire with rest HEP,,point by point,400-600,previous studies,204,F3-FZ-F4-C3-CZ-C4-P3-PZ-P4-O1-OZ-O2,none,12,"fontal, central, parietal, occipital x left, mid, right",7,no,compare locations using ANOVA; Compare gender; Some electrodes in multiple clusters,,,,,,,,,,,,,,,,pearson,no,8,quest_MAIA_notworrying; quest_MAIA_noticing; quest_MAIA_notdistracting;  quest_MAIA_attregulation; quest_MAIA_emotionalawareness; quest_MAIA_selfregulation; quest_MAIA_bodylistening; quest_MAIA_Trusting ,,F3-FZ-F4-C3-CZ-C4-P3-PZ-P4-O1-OZ-O2,none,yes,"Based on the known associations of the late HEP amplitudes to the number of body sensation- and
regulation-related aspects, we hypothesized that individual differences in qualitative aspects of
interoception could be reflected in the late HEP amplitudes.",partial,no,cluster correct for multiple comparisons across time and space but not for the 8 scales,,no,yes,no,no,no,no,no
"Canales-Johnson, Silva, Huepe, Rivera-Rei, Noreika, Garcia, Silva, Ciraolo, Vaucheret, Sedeño, Couto, Kargieman, Baglivo, Sigman, Chennu, Ibáñez, Rodríguez, Bekinschtein",Canales-Johnson2015,2015,Auditory Feedback Differentially Modulates Behavioral and Neural Markers of Objective and Subjective Performance When Tapping to Your Heartbeat.,"Cerebral cortex (New York, N.Y. : 1991)",Interoception  the perception of our body internal signals  plays a key role in maintaining homeostasis and guiding our behavior. Sometimes  we become aware of our body signals and use them in planning and strategic thinking. Here  we show behavioral and neural dissociations between learning to follow one's own heartbeat and metacognitive awareness of one's performance  in a heartbeat-tapping task performed before and after auditory feedback. The electroencephalography amplitude of the heartbeat-evoked potential in interoceptive learners  that is  participants whose accuracy of tapping to their heartbeat improved after auditory feedback  was higher compared with non-learners. However  an increase in gamma phase synchrony (30-45 Hz) after the heartbeat auditory feedback was present only in those participants showing agreement between objective interoceptive performance and metacognitive awareness. Source localization in a group of participants and direct cortical recordings in a single patient identified a network hub for interoceptive learning in the insular cortex. In summary  interoceptive learning may be mediated by the right insular response to the heartbeat  whereas metacognitive awareness of learning may be mediated by widespread cortical synchronization patterns. ,heartbeat-evoked[All Fields] AND potential[All Fields],25899708,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,Training interoception using auditory feedback for hbtapping. Analyses separates poor and good learners,"intero.training, intero.group",statistics for pre vs post training / statistics for good vs bad learners,,39,6,16.5,yes,epilepsy,between,no,,33 controls vs 1 epilepsy patient. Control data reported only group is learner vs non-learners,,egi,eeglab,129,avgmastoids,500,yes,downsampled at 250 for analyses,,egi,2,torso/leg,500,*ECG montage figured out by looking box online,,0.5,40,none,yes,70;100;200,no,no,yes,13,no,,rpeak,-200,800,-200;-50,mean subtraction,at least 87% trials remained,,"2 (pre-post) x 2 (learner, not learner)",2,not reported,*Learners are those who improved after training,,mean amplitude,200-450,previous studies,1,C1-C3-FC1-FC3-FC5-F3;FCZ-F1-FZ-F2-AFZ; C2-C4-FC2-FC4-FC6-F4,previous studies,29,"frontal-left, frontal-center, frontal-right",3,no,"10-10 locations derived from EGI documentation when available. EGI sensors: left: 7, 13, 20, 24, 30, 29, 28, 36, 35; center:6, 12, 19, 4, 5, 11, 18, 16, 10; right: 106, 105, 104, 112, 111, 110, 118, 111, 124, 123",,anova,yes,3,12,3,none,none,no,"For this, we hypothesized a correspondence between improvement in heartbeat-tapping and modulation of HEP amplitude in intero-ceptive learners but not in non-learners.",full,cohend,no,Do not report pre-post comparison across all part; ANOVAs are reported as well as cluster based permutation unclear what ANOVA shows,,,,,,,,,,,,,,,no,no,yes,no,yes,no,yes
"Couto, Salles, Sedeño, Peradejordi, Barttfeld, Canales-Johnson, Dos Santos, Huepe, Bekinschtein, Sigman, Favaloro, Manes, Ibanez",Couto2013,2013,The man who feels two hearts: the different pathways of interoception.,Social cognitive and affective neuroscience,Recent advances in neuroscience have provided new insights into the understanding of heart-brain interaction and communication. Cardiac information to the brain relies on two pathways  terminating in the insular cortex (IC) and anterior cingulate cortex (ACC)  along with the somatosensory cortex (S1-S2). Interoception relying on these neuroanatomical pathways has been shown to modulate social cognition. We report the case study of C.S.  a patient with an 'external heart' (an extracorporeal left-univentricular cardiac assist device  LVAD). The patient was assessed with neural/behavioral measures of cardiac interoception complemented by neuropsychological and social cognition measures. The patient's performance on the interoception task (heartbeat detection) seemed to be guided by signals from the artificial LVAD  which provides a somatosensory beat rather than by his endogenous heart. Cortical activity (HEP  heartbeat-evoked potential) was found decreased in comparison with normal volunteers  particularly during interoceptive states. The patient accurately performed several cognitive tasks  except for interoception-related social cognition domains (empathy  theory of mind and decision making). This evidence suggests an imbalance in the patient's cardiac interoceptive pathways that enhances sensation driven by the artificial pump over that from the cardiac vagal-IC/ACC pathway. A patient with two hearts  one endogenous and one artificial  presents a unique opportunity to explore models of interoception and heart-brain interaction. ,heartbeat-evoked[All Fields] AND potential[All Fields],23887813,"Given paucity of info reported and 5 participants, I suggest we exlcude",,MP,HH,0,,1,0,,1,1,,MP,HH,,,Case vs controls during rest vs counting,intero.attention,statistics for rest vs count in controls,,5,0,5,yes,twohearts,casecontrol,no,,5 controls vs 1 patient with heart machine,,biosemi, not reported,128,avgreference,2048,yes,,,other,2,lead2,not reported,,,0.3,40,none,no,no,yes,no,yes,no,yes,subract EKG from EEG,rpeak,-200,800,not reported,not reported,report number of epochs but not how many taken out; analyse both with and without cardiac correction,,"2 (tapping hb, tapping tone)",1,422.4,,,point by point,0-800,all,not reported,not reported,previous studies,8,none,1,no,"channel numbers reported only for positions, impossible to find in 10-20 according to any biosemi nomenclature. Probably report amplifier channels which is useless since we don't know how it was plugged.",,permutations t-test,no,1,3,,none,none,,"We report behavioral and neural measures of interoception in C.S., who is a patient with an extracorporeal LVAD and a sample of matched control participants. This study is based on one main working hypothesis: (i) Given that the LVAD interferes with physiological cardiacinteroception rhythms, the patient should present impaired interoception. If interoception is driven by mechanical sensation, then the rhythm created by the pump should be more strongly associated with interoceptive reports. However, if interoception is mediated by direct vagal enervation, the heart would drive interoception despite somatosensory interference. (ii) To test this hypothesis, we assessed the behavioral interoception of C.S. using a HBD task and we compared his differential performance related to both his endogenous and artificial heartbeats. In addition, the HEP was recorded and compared during states of interoception, exteroception and mind wandering in C.S. and the controls.",partial,none,no,permutations t-test for (mind wandering vs interoceptive vs exeroception) x before and after artifact correction,,,,,,,,,,,,,,,yes,no,no,no,no,no,no
"Dirlich, Dietl, Vogl, Strian",Dirlich1998,1998,Topography and morphology of heart action-related EEG potentials.,Electroencephalography and clinical neurophysiology,Joint ECG and EEG measurements were performed in 22 healthy subjects under standardized laboratory conditions. Averaged EEG potentials were computed using the R-peaks in the ECG as reference events. Spatio-temporal potential patterns of heart action-related EEG activity were obtained from 26 scalp channels. A heart action-related positive potential was found  peaking over the parietal scalp regions. Its independence from the cardiac electrical field  the source of an EEG artifact that may be confounded with heart action-related brain potentials  is demonstrated. The potential reaches its maximum amplitude of about 0.5 microV at a latency of about 500 ms after the R-peak. Its topography  with peak amplitudes at the parietal electrode locations  is different from the topography of potentials observed in the few comparable experimental studies published so far. This suggests the presence of somatosensory-evoked components in heart action-related potentials and indicates that a renewed discussion of the underlying neuronal processes is necessary.,"(""heart""[MeSH Terms] OR ""heart""[All Fields]) AND action-related[All Fields] AND (""electroencephalography""[MeSH Terms] OR ""electroencephalography""[All Fields] OR ""eeg""[All Fields]) AND potential[All Fields]",,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,Analysis of morphology/scalp topo of HEP; Contradicts Schandry and says its partly somatosensory,,NO INTEROCEPTION EXCLUDE?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fukushima, Terasawa, Umeda",Fukushima2011,2011,Association between interoception and empathy: evidence from heartbeat-evoked brain potential.,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,Physiological bodily states play an important role in affective experiences. This study investigated whether the neural processing of internal body state (interoception) is associated with empathy  the understanding of the affective states of others. We used the 'heartbeat-evoked potential' (HEP)  a surface electroencephalography (EEG) pattern  as a neural index of interoceptive processing. The HEP is contingent on the most prominent peak (R-wave) of the electrocardiogram (ECG) and is thought to reflect cortical processing of cardiac afferent input. Twenty-one healthy adults performed empathy and control tasks while EEG and ECG were recorded  where they made judgments based on either the affective or physical aspects of images of human eyes. HEP  ECG and heart rate in each task block were calculated and compared. Results showed that cardiac activity was not significantly different between tasks. In contrast  HEP showed a significant task difference  exhibited as an increased negativity during the empathy task over frontocentral sites at a latency of approximately 250-430 ms. Furthermore  a self-reported measure of empathy was associated with mean HEP amplitude during the period of task-related differentiation. These results suggest that afferent feedback from visceral activity may contribute to inferences about the affective state of others.,heartbeat-evoked[All Fields] AND potential[All Fields],21055427,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,correlation of HEP with behavioural empathy scores,intero.arousal,task affective vs physical,,21,0,21,no,,within,no,,,,neurofax,not repoted,10,avgmastoids,200,no,,,neurofax,2,wrists,200,,,none,30,no,no,100,no,no,no,,yes,subract EKG from EEG,rpeak,-100,900,-100;0,mean subtraction,,,2 (affective vs physical judgement),1,not reported,,,point by point,200-600,previous studies,80,FZ-F3-F4-FCZ-CZ-C3-C4-PZ-P7-P8,all,10,none,1,no,,,permutations t-test,no,1,2,,clusterbased,none,,"Thus, our specific aim was to test whether the HEP was significantly different when participants were engaged with an empathy task, relative to a control task not involving explicit empathy. To this end, we measured EEG and ECG while participants performed tasks that either did or did not involve explicit empathic processing.",none,none,no,say data was clustered in time and space but reprot results for individual electrodes,,,,,,,,,,,,,,,no,no,no,yes,no,no,no
"García-Cordero, Esteves, Mikulan, Hesse, Baglivo, Silva, García, Vaucheret, Ciraolo, García, Adolfi, Pietto, Herrera, Legaz, Manes, García, Sigman, Bekinschtein, Ibáñez, Sedeño",García-Cordero2017,2017,"Attention, in and Out: Scalp-Level and Intracranial EEG Correlates of Interoception and Exteroception.",Frontiers in neuroscience,Interoception  the monitoring of visceral signals  is often presumed to engage attentional mechanisms specifically devoted to inner bodily sensing. In fact  most standardized interoceptive tasks require directing attention to internal signals. However  most studies in the field have failed to compare attentional modulations between internally- and externally-driven processes  thus probing blind to the specificity of the former. Here we address this issue through a multidimensional approach combining behavioral measures  analyses of event-related potentials and functional connectivity via high-density electroencephalography  and intracranial recordings. In Study 1  50 healthy volunteers performed a heartbeat detection task as we recorded modulations of the heartbeat-evoked potential (HEP) in three conditions: exteroception  basal interoception (also termed interoceptive accuracy)  and post-feedback interoception (sometimes called interoceptive learning). In Study 2  to evaluate whether key interoceptive areas (posterior insula  inferior frontal gyrus  amygdala  and somatosensory cortex) were differentially modulated by externally- and internally-driven processes  we analyzed human intracranial recordings with depth electrodes in these regions. This unique technique provides a very fine grained spatio-temporal resolution compared to other techniques  such as EEG or fMRI. We found that both interoceptive conditions in Study 1 yielded greater HEP amplitudes than the exteroceptive one. In addition  connectivity analysis showed that post-feedback interoception  relative to basal interoception  involved enhanced long-distance connections linking frontal and posterior regions. Moreover  results from Study 2 showed a differentiation between oscillations during basal interoception (broadband: 35-110 Hz) and exteroception (1-35 Hz) in the insula  the amygdala  the somatosensory cortex  and the inferior frontal gyrus. In sum  this work provides convergent evidence for the specificity and dynamics of attentional mechanisms involved in interoception.,heartbeat-evoked[All Fields] AND potential[All Fields],28769749,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,Study 1 only,"intero.training, intero.attention",statistics for pre vs extero; pre vs post,,50,0,50,no,,within,no,,study 1 only; study 2 iEEG,,biosemi,,128,avgmastoids,256,yes,,,biosemi,2,lead2,256,,,0.5,30,no,yes,300,yes,no,no,,yes,ica,rpeak,-200,500,not reported,not reported,do not report baseline correction in study 1,,"3 ( extero, pre-htapping, post-hbtapping)",1,not reported,,,point by point,100-500,previous studies,102,not reported,previous studies,9,"frontal-right, frontal-central, frontal-left",3,no,"channels reported in biosemi system only: 67-68-69 (right-frontal) and 81, 82, 83 (central) and 99-100-101 (left-frontal)",,permutations t-test,no,1,3,,none,none,,"In light of previous findings, we hypothesized that (a) electrophysiological dynamics (HEP and intracranial recordings) would distinguish interoceptive from exteroceptive processes, and (b) HEP modulations would be greater for both interoceptive conditions (before and after feedback) than exteroceptive processes.",partial,none,yes,permutation t-tests but do not report correction,,,,,,,,,,,,,,,yes,no,no,no,yes,no,no
"Gentsch, Sel, Marshall, Schütz-Bosbach",Gentsch2018,2018,Affective interoceptive inference: Evidence from heart-beat evoked brain potentials.,Human brain mapping,The perception of internal bodily signals (interoception) is central to many theories of emotion and embodied cognition. According to recent theoretical views  the sensory processing of visceral signals such as one's own heartbeat is determined by top-down predictions about the expected interoceptive state of the body (interoceptive inference). In this EEG study we examined neural responses to heartbeats following expected and unexpected emotional stimuli. We used a modified stimulus repetition task in which pairs of facial expressions were presented with repeating or alternating emotional content  and we manipulated the emotional valence and the likelihood of stimulus repetition. We found that affective predictions of external socially relevant information modulated the heartbeat-evoked potential  a marker of cardiac interoception. Crucially  the HEP changes highly relied on the expected emotional content of the facial expression. Thus  expected negative faces led to a decreased HEP amplitude  whereas such an effect was not observed after an expected neutral face. These results suggest that valence-specific affective predictions  and their uniquely associated predicted bodily sensory state  can reduce or amplify cardiac interoceptive responses. In addition  the affective repetition effects were dependent on repetition probability  highlighting the influence of top-down exteroceptive predictions on interoception. Our results are in line with recent models of interoception supporting the idea that predicted bodily states influence sensory processing of salient external information.,heartbeat-evoked[All Fields] AND potential[All Fields],30159945,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,Effect of repetition of emotional faces on HEP; correlation with hbcounting,"intero.correlation, intero.arousal",statistics for correlation between hbcounting and HEP; statistics for repeat vs non-repeat,,19,2,17,no,,within,no,,,,biosemi,eeglab,63,avgreference,128,yes,,,biosemi,2,left clavicle/pectoral muscle,512,,,1,40,no,yes,no,yes,no,,,yes,ica + analyses with shifted,rpeak,-100,600,-100;0,mean subtraction,,,3 (repetition neutral vs repetition negative; neutral vs negative),,,,,mean amplitude,100-600,previous studies,5,AFZ-FPZ-AF4-AF3-AF8-AF7-F1-FZ-F2-FC1-FCZ-CZ-FC2-FT8-F6-FC5-F5-F7-F3-FT7-PO7-PO3-P3-P1-O1-POZ-OZ-Iz-O2-P2-PO4-PO8-CP5-CP3-P9-P7-P5-P3-CP6-CP4-P8-P6-P4,data driven,43,none,,no,"used ""morphological"" analysis to choose channels in main analyses",,permutations t-test,no,1,,,clusterbased,none,,"In this line, we hypothesize that the expectation of a negative facial expression would lead to a greater repetition suppression effect on the HEP component that would be characteristically different to the repetition effects when expecting a neutral expression.",full,cohend,yes,,,,,,,,,,,,,,correlation with the repetition effect but not the actual HEP. To consider?,,no,no,no,yes,no,no,no
"Gray, Taggart, Sutton, Groves, Holdright, Bradbury, Brull, Critchley",Gray2007,2007,A cortical potential reflecting cardiac function.,Proceedings of the National Academy of Sciences of the United States of America,Emotional trauma and psychological stress can precipitate cardiac arrhythmia and sudden death through arrhythmogenic effects of efferent sympathetic drive. Patients with preexisting heart disease are particularly at risk. Moreover  generation of proarrhythmic activity patterns within cerebral autonomic centers may be amplified by afferent feedback from a dysfunctional myocardium. An electrocortical potential reflecting afferent cardiac information has been described  reflecting individual differences in interoceptive sensitivity (awareness of one's own heartbeats). To inform our understanding of mechanisms underlying arrhythmogenesis  we extended this approach  identifying electrocortical potentials corresponding to the cortical expression of afferent information about the integrity of myocardial function during stress. We measured changes in cardiac response simultaneously with electroencephalography in patients with established ventricular dysfunction. Experimentally induced mental stress enhanced cardiovascular indices of sympathetic activity (systolic blood pressure  heart rate  ventricular ejection fraction  and skin conductance) across all patients. However  the functional response of the myocardium varied; some patients increased  whereas others decreased  cardiac output during stress. Across patients  heartbeat-evoked potential amplitude at left temporal and lateral frontal electrode locations correlated with stress-induced changes in cardiac output  consistent with an afferent cortical representation of myocardial function during stress. Moreover  the amplitude of the heartbeat-evoked potential in the left temporal region reflected the proarrhythmic status of the heart (inhomogeneity of left ventricular repolarization). These observations delineate a cortical representation of cardiac function predictive of proarrhythmic abnormalities in cardiac repolarization. Our findings highlight the dynamic interaction of heart and brain in stress-induced cardiovascular morbidity.,heartbeat-evoked[All Fields] AND potential[All Fields],17420478,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,Effect of stress on HEP in cardiac patient,"intero.attention, ecg.correlation",statistics for stress vs baseine; statistics for correlation between ecg measures and ,,10,0,10,yes,cardiac,within,no,,patients with history of cardiac dysfunction,,biosemi,spm,128,linkedears,300,yes,,,biosemi,12,lead12,300,,,0.7,24,no,yes,no,no,no,no,,yes,subract EKG from EEG,rpeak,-100,700,not reported,,,,"2 (mental stress, baseline)",1,not reported,,,mean amplitude,455-595,previous studies,1,all 128 electrodes,all,128,none,,no,used spm to test across scalp,,spm t-test,yes,1,2,,spatial,,,"In particular, we anticipated that stress challenge would evoke changes in cardiac output, heart wall motion, and electrophysiological homogeneity, in accordance with the nature and extent of cardiac pathology, and that cortical HEPs would: (i) reflect afferent cardiac information (i.e., myocardial response rather than generalized indices of sympathetic arousal), (ii) predict functional impairment in these cardiovascular patients, and (iii) predict proarrhythmic ECG changes in response to stress.",partial,none,yes,,,,,,,,,,,,,,correlation with ecg but not interoception,,no,no,no,yes,no,yes,no
"Huang, Gevirtz, Onton, Criado",Huang2018,2018,Investigation of vagal afferent functioning using the Heartbeat Event Related Potential.,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,Although there has been much support for HRV Biofeedback as an effective intervention for various disorders  there is a lack of comprehension of the underlying mechanisms. The predominant theories of increased vagal efferents and baroreflex gain are insufficient in explaining the frequent observations that HRV Biofeedback impacts changes in constructs beyond ANS mediation  such as emotion regulation  attentional control  and self-regulatory reserve. It has been suspected that vagal afferent functioning may be the underlying mechanism  but little research has explored this. Previously  researchers measured cortical evoked potentials contingent to the heart  or an indication of vagal afferent functioning (Schandry et al.  1986). Twenty-five participants were randomly stratified to HRV Biofeedback or EMG Biofeedback for four sessions. Repeated measures ANOVAs revealed that the HRV group exhibited statistically significantly increased baseline Heartbeat Event-Related Potentials (updated term for 'evoked potential') while the relaxation control group did not. The results of this study provide initial support to the premise that HRV Biofeedback stimulates changes in the vagal afferent pathway that are longer lasting than simply the short term effects of breathing.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",28679109,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,Trained participants with HRV feedback or control relaxation training,"intero.training, ecg.correlation",statistics for training vs ctl; statistics for correlation between ecg measures and HEP,,28,3,12.5,no,,between,no,,,,biosemi,not reported,4,leftear,256,no,only four electrodes selected based on pilot study,,other,not reported,not reported,256,,,not reported,not reported,no,no,no,no,no,no,no,no,,rpeak,-100,600,not reported,,,,"2 (training HRV, training EMG) x 2 (pre-post)",2,1600,report 1200-2000 epochs/session,,mean amplitude,200-300,previous studies,1,CZ-FZ-PZ-F3,data driven,4,none,,no,used pilot study to choose locations; 1 optimal site was analysed but cluster consdered for meta,,anova,yes,2,4,1,none,none,yes,"It was hypothesized that individuals in the HRV treatment condition would exhibit increased amplitude in HERPs during both baseline and training segments after four weekly sessions of HRV paced breathing training while the EMG relaxation control group would not, which would indicate that HRV Biofeedback training can uniquely improve vagal afferent functioning.",full,partialeta,yes,,,no,,,,,,,,,,,correlate different effects but nothing directly related to interopcetion,,no,no,no,no,yes,no,no
"Judah, Shurkova, Hager, White, Taylor, Grant",Judah2018,2018,The relationship between social anxiety and heartbeat evoked potential amplitude.,Biological psychology,Past research suggests that social anxiety is associated with increased processing of cardiac activity. Cognitive theories propose that this is one aspect of self-focus  which is driven by concerns that features of the self  such as anxiety symptoms  will elicit evaluation from others. We investigated the relationship of social anxiety to the cortical processing of heartbeats as reflected in the heartbeat evoked potential (HEP) during false feedback of accelerated heart rate. Thirty-eight participants with high social anxiety (HSA; n = 19) and non-elevated social anxiety (NSA; n = 19) completed a cognitive task during which false feedback of accelerated heart rate was randomly provided on 50% of trials. HEP amplitude was larger in HSAs  but not NSAs  during false heartbeat acceleration cues compared to standard cues. HEP amplitude also was larger in HSAs compared to NSAs during acceleration cues. HEP amplitude during acceleration cues  but not standard cues correlated with social anxiety. Within the first second after the R-peak  social anxiety correlated with voltage at Fz from 223 to 305 ms. Social concerns about the consequences of anxiety symptoms accounted for an indirect relationship between social anxiety and the HEP. These data extend prior evidence of increased processing of cardiac activity in socially anxious individuals  providing support for cognitive theories.,heartbeat-evoked[All Fields] AND potential[All Fields],30290212,,,MP,HH,0,,1,0,,1,1,,MP,HH,,,compared anxious vs ctl on task with false HR feedback,"intero.group, ecg.correlation, intero.attention",anxious vs ctl; correlation with ecg; feedback vs standard,,42,4,38,no,,between,no,,anxiety but sub-clinical,,biosemi,eeglab,32,avgmastoids,256,no,some info taken from 2016 paper,,biosemi,2,lead2,256,,,0.1,30,no,yes,not reported,no,no,yes,9.17,yes,subract EKG from EEG,rpeak,-200,1000,-200;0,mean subtraction,,,"2 (HR acceleration, standard)",2,not reported,,,mean amplitude,200-350,visual inspection,1,FZ,visual inspection,1,none,,no,,,anova,yes,2,4,1,none,none,,We hypothesized that social anxiety would be associated with increased HEP amplitude during false heart rate acceleration feedback. A secondary goal was to examine whether concerns about the social consequences of somatic symptoms explained the relationship between social anxiety,full,partialeta,yes,,,no,,,,,,,,,,,correlation with social anxiety but not interoceptive?,,yes,no,yes,no,no,no,no
